time,seconds_elapsed,dBFS
1694585783236000000,0.157,-62.3003044128418
1694585783347000000,0.268,-65.96246337890625
1694585783447000000,0.368,-68.39482116699219
1694585783547000000,0.468,-67.11518859863281
1694585783647000000,0.568,-68.98240661621094
1694585783747000000,0.668,-68.6269760131836
1694585783864000000,0.785,-70.83921813964844
1694585783964000000,0.885,-69.67237091064453
1694585784063000000,0.984,-69.93527221679688
1694585784163000000,1.084,-70.2000732421875
1694585784263000000,1.184,-70.4967269897461
1694585784363000000,1.284,-65.76692962646484
1694585784463000000,1.384,-58.67840576171875
1694585784563000000,1.484,-58.646759033203125
1694585784680000000,1.601,-43.25233840942383
1694585784779000000,1.7,-43.430538177490234
1694585784879000000,1.8,-46.92459487915039
1694585784979000000,1.9,-50.0396728515625
1694585785079000000,2,-52.30148696899414
1694585785179000000,2.1,-52.95064163208008
1694585785279000000,2.2,-17.483776092529297
1694585785379000000,2.3,-19.403514862060547
1694585785479000000,2.4,-16.016822814941406
1694585785596000000,2.517,-16.078792572021484
1694585785695000000,2.616,-17.78845977783203
1694585785795000000,2.716,-20.42597770690918
1694585785895000000,2.816,-19.69474220275879
1694585785995000000,2.916,-15.795519828796387
1694585786095000000,3.016,-14.888961791992188
1694585786195000000,3.116,-13.719932556152344
1694585786295000000,3.216,-15.70356273651123
1694585786395000000,3.316,-19.425678253173828
1694585786495000000,3.416,-24.4185848236084
1694585786612000000,3.533,-29.425052642822266
1694585786711000000,3.632,-34.2771110534668
1694585786811000000,3.732,-38.016448974609375
1694585786911000000,3.832,-42.65169906616211
1694585787011000000,3.932,-46.989158630371094
1694585787111000000,4.032,-47.53438186645508
1694585787211000000,4.132,-50.506500244140625
1694585787311000000,4.232,-53.83791732788086
1694585787411000000,4.332,-50.809627532958984
1694585787511000000,4.432,-52.498844146728516
1694585787611000000,4.532,-54.44621658325195
1694585787728000000,4.649,-49.4670295715332
1694585787828000000,4.749,-51.882530212402344
1694585787928000000,4.849,-53.54811477661133
1694585788027000000,4.948,-54.92436599731445
1694585788127000000,5.048,-55.44788360595703
1694585788227000000,5.148,-51.951168060302734
1694585788327000000,5.248,-54.51387023925781
1694585788427000000,5.348,-51.99332809448242
1694585788544000000,5.465,-9.694149017333984
1694585788644000000,5.565,-8.904276847839355
1694585788743000000,5.664,-13.00557804107666
1694585788843000000,5.764,-17.050697326660156
1694585788944000000,5.865,-20.85384178161621
1694585789043000000,5.964,-10.726304054260254
1694585789144000000,6.065,-14.730544090270996
1694585789243000000,6.164,-11.267470359802246
1694585789343000000,6.264,-12.114384651184082
1694585789443000000,6.364,-14.222579956054688
1694585789560000000,6.481,-12.832225799560547
1694585789660000000,6.581,-12.104391098022461
1694585789759000000,6.68,-16.30543327331543
1694585789859000000,6.78,-20.21000862121582
1694585789959000000,6.88,-24.46321678161621
1694585790059000000,6.98,-15.930086135864258
1694585790159000000,7.08,-16.959426879882812
1694585790259000000,7.18,-18.411027908325195
1694585790359000000,7.28,-17.273775100708008
1694585790476000000,7.397,-18.09457778930664
1694585790576000000,7.497,-21.355226516723633
1694585790676000000,7.597,-24.2550106048584
1694585790832000000,7.753,-30.488676071166992
1694585790942000000,7.863000244140625,-35.358360290527344
1694585791058000000,7.978999755859375,-40.92438507080078
1694585791159000000,8.08,-44.37943649291992
1694585791258000000,8.178999755859374,-48.4333381652832
1694585791358000000,8.279000244140626,-51.29771041870117
1694585791458000000,8.378999755859375,-53.888572692871094
1694585791558000000,8.479000244140625,-52.15024185180664
1694585791658000000,8.578999755859375,-53.95378875732422
1694585791759000000,8.68,-55.673561096191406
1694585791875000000,8.796,-54.894901275634766
1694585791975000000,8.896,-20.81543731689453
1694585792074000000,8.994999755859375,-15.23949909210205
1694585792183000000,9.104,-18.304405212402344
1694585792275000000,9.196,-22.89411735534668
1694585792374000000,9.295000244140626,-26.83417320251465
1694585792474000000,9.394999755859375,-31.821985244750977
1694585792591000000,9.512,-36.42333984375
1694585792690000000,9.610999755859375,-41.12730407714844
1694585792790000000,9.711000244140624,-45.64388656616211
1694585792891000000,9.812,-48.571006774902344
1694585792991000000,9.912,-48.409645080566406
1694585793090000000,10.010999755859375,-50.58922576904297
1694585793190000000,10.111000244140625,-51.8167610168457
1694585793290000000,10.210999755859374,-52.17993927001953
1694585793390000000,10.311000244140626,-54.39268493652344
1694585793507000000,10.428,-56.72185134887695
1694585793607000000,10.528,-57.75487518310547
1694585793707000000,10.628,-58.69777297973633
1694585793806000000,10.727000244140624,-48.8228759765625
1694585793906000000,10.826999755859376,-45.48952102661133
1694585794006000000,10.927000244140626,-47.158958435058594
1694585794106000000,11.026999755859375,-49.13705062866211
1694585794206000000,11.127000244140625,-51.70432662963867
1694585794306000000,11.226999755859374,-54.19012451171875
1694585794406000000,11.327000244140624,-56.56669616699219
1694585794522000000,11.442999755859375,-58.52678298950195
1694585794623000000,11.544,-58.44199752807617
1694585794722000000,11.642999755859375,-57.395484924316406
1694585794822000000,11.743000244140624,-58.524986267089844
1694585794922000000,11.842999755859376,-59.458213806152344
1694585795022000000,11.943000244140626,-59.81718063354492
1694585795122000000,12.042999755859375,-57.43312454223633
1694585795222000000,12.143000244140625,-19.22225570678711
1694585795339000000,12.26,-8.959680557250977
1694585795439000000,12.36,-11.77131175994873
1694585795538000000,12.458999755859375,-16.47466278076172
1694585795638000000,12.559000244140625,-19.55832862854004
1694585795739000000,12.66,-10.869746208190918
1694585795838000000,12.759000244140625,-13.442866325378418
1694585795938000000,12.858999755859376,-10.569823265075684
1694585796038000000,12.959000244140626,-11.39747428894043
1694585796138000000,13.058999755859375,-16.058502197265625
1694585796255000000,13.176,-21.14288330078125
1694585796394000000,13.314999755859375,-28.16426658630371
